Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2,Gene names
0.64586,0.48337,0.38865,0.36612,0.5028,NaN,0.36247,0.26078,NaN,0.20518,0.45222,NaN,NaN,NaN,0.63887,0.38143,
0.28048,0.19605,0.28316,0.22931,0.43895,NaN,0.19095,0.23681,NaN,0.2204,0.41803,0.31891,0.38392,0.2304,0.22967,0.18324,dnc
0.25264,NaN,0.21857,0.4116,0.36425,NaN,0.19204,0.15234,0.18546,0.23775,NaN,NaN,0.73503,0.27412,NaN,0.87663,
0.48701,0.33366,0.30231,0.24266,0.57274,0.41855,0.31884,0.40584,NaN,0.25335,0.51597,0.41046,0.34934,0.22394,0.68891,0.50249,Marf
1.568,0.25721,0.086271,1.1285,NaN,NaN,0.51141,0.39017,0.64731,0.26229,NaN,0.77382,NaN,NaN,NaN,0.12322,Rh4
0.22657,NaN,0.52881,0.21784,0.35653,NaN,0.10529,0.21971,NaN,0.26729,NaN,NaN,0.45359,0.40661,0.42157,0.26484,CG7766
0.238,NaN,0.25724,0.24528,NaN,NaN,0.2829,0.37623,0.12757,0.27314,0.50753,0.44707,NaN,0.32339,NaN,0.24157,Gycalpha99B
NaN,0.36959,NaN,0.29074,NaN,NaN,0.31948,NaN,NaN,0.27413,NaN,NaN,NaN,NaN,NaN,0.21266,Pde1c
0.45315,1.0241,0.30132,NaN,0.2919,0.80071,0.40066,1.5763,NaN,0.27589,0.37062,0.39691,0.19819,0.44693,0.63184,0.30407,AGO1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.28326,0.46665,NaN,0.36946,NaN,0.18882,0.1678,Glg1
NaN,NaN,0.38249,NaN,0.27863,0.31836,NaN,NaN,0.20029,0.28615,NaN,NaN,0.34244,0.35883,NaN,0.42451,CG34325-RA
NaN,NaN,0.40375,NaN,0.21691,0.16149,0.9665,0.44284,0.33396,0.2885,NaN,NaN,NaN,NaN,NaN,0.43157,shot
0.30333,0.42958,0.35563,0.31164,0.35439,0.51723,0.34778,0.39045,0.37235,0.2887,0.29735,0.20575,0.30822,0.36665,NaN,0.38803,mdy
NaN,0.29389,0.99541,0.59453,1.0277,NaN,0.36184,0.38636,NaN,0.29447,0.9685,0.66435,NaN,0.31855,0.34716,0.32171,Rbp
NaN,NaN,NaN,0.93572,NaN,NaN,NaN,NaN,1.5804,0.30278,NaN,NaN,1.2705,NaN,NaN,0.55955,Mnn1
0.32328,0.34746,NaN,0.42539,0.22832,0.69088,0.39797,NaN,0.34581,0.31821,0.23584,0.24397,0.60292,0.35368,NaN,0.49486,
0.22724,0.31105,0.38798,0.3734,NaN,0.30319,0.34428,NaN,NaN,0.31873,0.3152,0.2457,0.38509,0.32626,0.41302,0.32784,
NaN,NaN,NaN,NaN,1.1283,NaN,NaN,NaN,0.23393,0.32814,NaN,NaN,NaN,NaN,NaN,0.54726,CG14757
0.73565,2.4687,0.83276,1.3944,NaN,NaN,NaN,0.87377,NaN,0.34934,1.4551,1.2778,1.0768,1.3239,1.1718,1.2268,
0.21415,0.43257,0.43964,0.47622,0.357,0.18819,0.26213,0.30612,NaN,0.35693,0.26518,0.31182,0.31779,0.32939,0.47872,0.50406,Srp72
0.29769,0.99611,0.3906,0.31133,0.23315,0.14215,0.38256,0.38301,NaN,0.36076,0.19119,0.63112,NaN,0.49162,NaN,0.43634,pix
NaN,NaN,NaN,NaN,NaN,NaN,0.167,NaN,0.26569,0.36501,NaN,NaN,0.3381,NaN,NaN,0.24594,Cyp12c1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.37059,NaN,0.46792,NaN,NaN,NaN,0.42269,RabX4
NaN,1.0576,0.72466,0.698,NaN,0.98668,0.75266,0.91979,NaN,0.37398,0.75899,0.5825,0.49145,0.48984,0.38566,0.34867,Spn55B
0.36182,0.40518,0.43048,0.50633,0.39574,0.47724,0.4003,0.50564,NaN,0.38804,0.38701,0.37123,0.49475,0.4768,0.63374,0.60201,Hmgs
0.75571,0.32721,NaN,0.42407,0.26832,0.47285,NaN,0.30422,NaN,0.39183,0.78989,0.38241,0.35845,0.48248,NaN,0.27338,Lpin
0.36397,0.45308,0.46169,NaN,0.95011,NaN,0.46032,0.32854,0.34284,0.39201,NaN,NaN,1.503,0.70738,NaN,0.52902,
0.60433,0.77303,0.72657,0.66274,11.841,0.79959,0.81989,0.50113,NaN,0.39662,NaN,NaN,0.98464,0.7207,0.53111,0.84179,
NaN,0.7243,0.80228,0.84023,NaN,0.36547,0.53237,NaN,NaN,0.41381,0.71043,0.73451,0.6619,NaN,0.74385,0.56367,RagC-D
NaN,NaN,NaN,NaN,0.43513,NaN,NaN,NaN,NaN,0.42202,NaN,NaN,NaN,NaN,0.5878,0.44171,crb
NaN,0.77008,0.61801,1.3753,NaN,0.42023,0.67829,NaN,NaN,0.43054,0.6344,0.54686,0.53465,0.58153,NaN,0.45904,CG1311
0.46556,0.39982,NaN,0.53325,0.72018,0.38933,NaN,0.62845,0.51096,0.44089,0.69706,0.54385,0.43651,0.68477,NaN,0.57893,CkIalpha
0.26705,0.68532,NaN,0.39533,0.33608,NaN,NaN,NaN,0.29227,0.44769,0.2221,0.2742,NaN,NaN,NaN,0.36247,Spt5
0.24816,0.30039,0.47216,0.36743,0.26699,0.1895,0.61384,0.47287,NaN,0.45206,0.41174,0.23489,0.40721,0.39881,0.68477,0.39315,ApepP
0.47191,0.4512,0.50725,0.39702,0.44229,0.40946,0.34517,0.45506,NaN,0.46714,0.54195,0.45282,0.53255,0.38222,0.49843,0.36537,P5cr
1.1354,1.4851,0.65801,0.57381,NaN,NaN,0.56953,0.66901,NaN,0.46735,NaN,1.1647,0.58662,0.58461,0.68171,0.49731,CG18501
0.70889,NaN,0.59812,0.69563,0.6198,0.6401,0.33805,0.50063,NaN,0.47645,0.49203,NaN,2.5089,0.58502,1.0862,0.65908,Naam
0.54846,0.40103,1.0596,0.56979,0.62678,NaN,0.58454,1.2786,NaN,0.47949,1.0096,0.34505,0.49014,0.66483,0.56746,0.52116,CG10915
NaN,0.41154,0.63886,0.6084,0.78776,0.46438,0.37576,0.64656,0.36988,0.48345,0.4152,NaN,NaN,NaN,NaN,0.46233,Nup54
0.16701,0.17902,0.43091,NaN,0.35446,0.18567,NaN,0.62123,NaN,0.49261,1.0819,NaN,NaN,0.62679,NaN,0.39395,CG3800
1.2158,NaN,NaN,NaN,NaN,NaN,0.66775,1.0083,NaN,0.50371,NaN,NaN,0.56033,NaN,NaN,0.89484,Pdp
0.50837,0.53339,NaN,NaN,0.52777,NaN,NaN,0.71393,0.47717,0.50542,0.76488,0.79845,0.57172,0.76898,NaN,0.77242,CG7441-RA
0.31591,0.47131,0.37983,NaN,0.18747,0.1529,NaN,0.28975,NaN,0.50752,0.32593,0.32237,NaN,0.47058,0.35862,0.39933,Hml
0.41298,0.44408,0.7541,0.58457,NaN,0.48338,0.56806,0.61649,NaN,0.50873,0.40906,0.3449,0.53076,0.78519,0.77927,0.47192,U2af50
0.63945,0.7798,0.40445,0.56068,0.75194,NaN,NaN,NaN,0.90172,0.51086,NaN,0.71787,0.42644,NaN,NaN,0.86689,amon
0.33477,NaN,NaN,NaN,0.33782,NaN,NaN,0.44596,NaN,0.51783,NaN,0.22767,NaN,0.44966,NaN,0.4006,Sec61alpha
0.27747,0.38469,0.60614,0.40928,0.34233,0.56635,0.51411,0.53676,NaN,0.52019,0.28571,0.42462,0.39411,0.50387,0.49103,0.4849,Mulk
0.32054,0.34476,0.87966,NaN,NaN,NaN,0.73392,NaN,NaN,0.53816,0.24569,0.3153,NaN,0.72161,NaN,0.5564,CHORD
0.56569,0.45746,NaN,0.49858,NaN,NaN,NaN,0.57126,NaN,0.53877,0.88765,0.44255,NaN,NaN,0.37876,0.47427,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.53956,NaN,NaN,NaN,NaN,NaN,0.59343,
0.44142,NaN,0.6151,0.48146,0.50937,0.51438,0.65649,0.6839,NaN,0.54317,NaN,0.99355,0.49083,0.99359,0.46339,0.49296,
0.53512,0.60481,NaN,0.90461,0.30641,0.40196,NaN,NaN,NaN,0.54596,0.50465,0.70755,0.70263,0.74418,0.86905,0.8171,torp4a
NaN,NaN,0.61046,NaN,0.60044,NaN,0.64427,0.64236,NaN,0.54607,NaN,NaN,0.56029,0.58253,0.47744,0.44941,rogdi
0.35114,0.59118,0.89647,NaN,0.48525,0.39036,0.70549,0.47344,NaN,0.54784,0.6783,0.47077,0.72396,0.63653,0.59886,0.75222,CG12321-RA
NaN,NaN,0.73728,NaN,3.3724,NaN,0.48467,0.4082,NaN,0.54902,NaN,NaN,NaN,0.67232,NaN,0.51807,Drs;Drsl5
0.39893,0.27094,0.64794,NaN,0.32382,0.35894,0.53703,0.44566,NaN,0.56317,0.45882,0.36963,0.63391,0.86826,0.53432,0.8923,Psi
